0 2 4
10 1 4
20 0 4
30 5 5
40 5 6
50 2 8
60 6 8
70 8 18
80 4 18
90 20 22
100 14 24
110 22 24
120 27 37
130 33 41
140 28 41
150 74 75
160 63 76
170 50 84
180 132 134
190 133 157
200 111 157
210 241 266
220 239 266
230 235 266
240 471 507
250 476 507
260 460 507
270 737 741
280 705 757
290 682 757
300 11 757
308 0 757
